,Datetime,Tweet Id,Text,Username
51,2021-11-25 11:01:35+00:00,1463825185417531395,"i want 2 smoke a ciggy while poundin an energy drink as some theorybrained bitch explains marxian economics and/or islamic eschatology 2 me

why is this so much 2 ask 4",endotericist
52,2021-11-25 09:43:17+00:00,1463805479906250756,"not taking simple otc painkillers or cold medicine n stuff bc you ""don't like pills"" etc is one of the most infuriatingly privileged attitudes i regularly encounter but its perceived as a normal personality trait or even """"health-conscious""""",endotericist
53,2021-11-25 09:15:53+00:00,1463798587301629954,"@tara_chara i guess the best thing to do is just say ""ok, what do i want the most?"" and then gear everything else towards that, and try to be flexible with whatever comes your way in that process",endotericist
54,2021-11-25 09:14:45+00:00,1463798300595785734,"@estro_genesis yeah TK def reminds of fear factory a bit, i just really enjoy the little disco infusions into the already well-pulled-off techno-heavy industrial metal stuff tbh",endotericist
55,2021-11-25 08:09:50+00:00,1463781963727130629,@tara_chara what do you wish was different about it?,endotericist
56,2021-11-25 08:03:49+00:00,1463780448895598592,@secretsaIad hhhhhhhh,endotericist
57,2021-11-25 07:36:05+00:00,1463773468994854913,"@ebeggin1 @terminallylizzy i see, ty",endotericist
58,2021-11-25 07:34:59+00:00,1463773192909033472,@terminallylizzy @ebeggin1 or syndicalist if i said no to markets,endotericist
59,2021-11-25 07:33:43+00:00,1463772875790290944,@terminallylizzy @ebeggin1 anyway apparently im a titoist or a market socialist,endotericist
60,2021-11-25 07:31:26+00:00,1463772301736833029,@terminallylizzy @ebeggin1 how is it not,endotericist
61,2021-11-25 07:20:36+00:00,1463769574927572995,@dissociativity haha heyy,endotericist
62,2021-11-25 07:17:41+00:00,1463768837870919690,@terminallylizzy banger,endotericist
63,2021-11-25 05:25:28+00:00,1463740600935587845,reject modernity        retvrn to tradition https://t.co/fG3KTI3QSW,endotericist
64,2021-11-25 04:41:30+00:00,1463729534474223618,"watchin smt tokyo revelations shitty english dub n this badass demon dude is like ""now, let us begin the revitalization process!”

think that'd be a sick morning alarm tbh, like, hear that, roll over, hit da vape, open my eyes like ""yeah alright lets rock""",endotericist
65,2021-11-25 04:39:29+00:00,1463729028720857088,@estro_genesis tell me what you think! ^^,endotericist
66,2021-11-25 04:24:11+00:00,1463725175707295747,@no_organs_here @halosuwu he's entirely correct! his case came back properly if you watched the trial and looked at the evidence. it's just a shame that his lawyer prolly told him to say all that shit,endotericist
67,2021-11-25 04:11:31+00:00,1463721990557032458,"@reiko_deer i started sitting down like two weeks ago for some reason but now that's just my habit

it was always standing up until then",endotericist
68,2021-11-25 02:56:56+00:00,1463703218370736135,@egIantiers gods do i wish,endotericist
69,2021-11-25 02:56:45+00:00,1463703173428768768,@mucksailor being a cute girl is genderless,endotericist
70,2021-11-25 02:47:20+00:00,1463700805324738561,@Mashu_Respecter &lt;3,endotericist
71,2021-11-25 02:44:36+00:00,1463700115848192000,be the boy you want to see in the world,endotericist
72,2021-11-25 02:35:36+00:00,1463697850051661824,@fliify man....,endotericist
73,2021-11-25 02:26:07+00:00,1463695465715625984,need https://t.co/ScVQtQKoXo,endotericist
74,2021-11-25 00:53:41+00:00,1463672202381824001,@hexadecadienyl ok TRUE,endotericist
75,2021-11-25 00:42:16+00:00,1463669330965458944,"yeah I'm ""gender critical"". and I give the genders ""male"" and ""female"" 1 star. highly unoriginal and filled with many regressive ideas",endotericist
76,2021-11-24 15:38:59+00:00,1463532608394973189,@chu2rocket sad!,endotericist
77,2021-11-24 12:29:30+00:00,1463484920911720449,@wormsofbarlo 🔥⚡,endotericist
78,2021-11-24 12:28:32+00:00,1463484679072354305,@shimapanzer @postmodrnracist sure,endotericist
79,2021-11-24 12:14:04+00:00,1463481038043189249,".@danajiru: ""jonathan q wick""
@chu2rocket: ""what's the q stand for""
dana: ""qanon""",endotericist
80,2021-11-24 12:12:33+00:00,1463480658710302727,@MofuMarkus thank you markus very cool,endotericist
81,2021-11-24 12:11:06+00:00,1463480293436780544,"@shimapanzer turmion kätilöt—technodiktator
clutch—robot hive/exodus
kohmi hirose—just check her greatest hits tbh
hoang thuy linh—hoang
rome—le ceneri di heliodoro
daoko—thank you blue
anoar brahem—the astounding eyes of rita
bernard adamus—brun
wednesday campanella—superman",endotericist
82,2021-11-24 12:03:19+00:00,1463478334680014852,(for the record i actually like all these artists i just thought this was funny),endotericist
83,2021-11-24 12:02:20+00:00,1463478084099706883,you say death grips and kero kero bonito. i say turmion kätilöt and kohmi hirose. we are not the same,endotericist
84,2021-11-24 11:34:15+00:00,1463471017158856712,@wormsofbarlo hell yeah!,endotericist
85,2021-11-24 11:33:56+00:00,1463470939199315972,"@CriticalMalthus you run in good company then, a lot of academic linguists still idolize the guy and it's pretty disheartening tbh

i wonder if it's almost a political signal, given the way that linguistics trends with that",endotericist
86,2021-11-24 11:29:25+00:00,1463469800693252101,@CriticalMalthus every time i see anything about chomsky i just think about how much of a hack he is in linguistics,endotericist
87,2021-11-24 10:43:05+00:00,1463458143522881538,@terminallylizzy @Mashu_Respecter please tell me that you aren't being serious,endotericist
88,2021-11-24 10:42:44+00:00,1463458054297436164,@no_organs_here i'm aware.,endotericist
89,2021-11-24 10:42:32+00:00,1463458003525398529,@hexadecadienyl eternal schmood,endotericist
90,2021-11-24 09:39:05+00:00,1463442037403910145,@hexadecadienyl yeah,endotericist
91,2021-11-24 09:38:58+00:00,1463442008765177865,"@palechatoyance gn fren, sleep well! wishing you sweet and clear dreams",endotericist
92,2021-11-24 09:38:42+00:00,1463441939223617539,@Mashu_Respecter goodnight rylan. sleep well. sweet and clear dreams~&lt;3,endotericist
93,2021-11-24 09:37:57+00:00,1463441750882541572,@hexadecadienyl thats crazy,endotericist
94,2021-11-24 09:37:45+00:00,1463441701553389577,"@Mashu_Respecter &lt;3
we're gonna make it, dearheart. i promise, we're gonna make it",endotericist
95,2021-11-24 08:15:27+00:00,1463420987907600386,@Mashu_Respecter vf guvf nobhg jub v guvax vg'f nobhg,endotericist
96,2021-11-24 04:15:56+00:00,1463360714815393803,@Butchbnuuy thats true,endotericist
97,2021-11-24 03:27:32+00:00,1463348533600219141,@xWYLRaz0rbl4d3x based,endotericist
98,2021-11-24 03:27:08+00:00,1463348430714015751,@Butchbnuuy youre like seventeen hours late but i appreciate the sentiment,endotericist
99,2021-11-24 03:26:29+00:00,1463348266372722688,@banya_pers yeah,endotericist
100,2021-11-24 03:15:58+00:00,1463345620052156416,"@AgentChunk someone posted this in a chat and i didnt know that salmon were blue so i wanted to see exactly what shade

you know, these things happen https://t.co/awJLsFMPmj",endotericist
